,uniqID,id,season,week,seasonType,startDate,homeTeam,homeConference,homeClassification,homeScore,awayTeam,awayConference,awayClassification,awayScore,lines,date,spreadDiff,spread,spreadOpen,homeMoney,awayMoney,favorite,spreadDiffmean,spreadmean,spreadOpenmean,homeMoneymean,awayMoneymean,color,spreadchg
0,4017568462025-08-26 17:00:48.717509,401756846,2025,1,regular,2025-08-23T16:00:00.000Z,Kansas State,Big 12,,21.0,Iowa State,Big 12,,24.0,"{'provider': 'Bovada', 'spread': -3, 'formattedSpread': 'Kansas State -3.0', 'spreadOpen': -2.5, 'overUnder': 51, 'overUnderOpen': 49.5, 'homeMoneyline': -165, 'awayMoneyline': 140}",2025-08-26 17:00:48.717509,0.5,-3.0,-2.5,-165.0,140.0,Kansas State,0.0,-3.0,-3.0,-157.333333333333,133.666666666667,Flat,
1,4017568462025-08-26 17:00:54.964540,401756846,2025,1,regular,2025-08-23T16:00:00.000Z,Kansas State,Big 12,,21.0,Iowa State,Big 12,,24.0,"{'provider': 'Bovada', 'spread': -3, 'formattedSpread': 'Kansas State -3.0', 'spreadOpen': -2.5, 'overUnder': 51, 'overUnderOpen': 49.5, 'homeMoneyline': -165, 'awayMoneyline': 140}",2025-08-26 17:00:54.964540,0.5,-3.0,-2.5,-165.0,140.0,Kansas State,0.0,-3.0,-3.0,-157.333333333333,133.666666666667,Flat,0.0
2,4017568462025-08-26 17:01:18.859629,401756846,2025,1,regular,2025-08-23T16:00:00.000Z,Kansas State,Big 12,,21.0,Iowa State,Big 12,,24.0,"{'provider': 'ESPN Bet', 'spread': -2.5, 'formattedSpread': 'Kansas State -2.5', 'spreadOpen': -3, 'overUnder': 51.5, 'overUnderOpen': 49.5, 'homeMoneyline': -145, 'awayMoneyline': 125}",2025-08-26 17:01:18.859629,-0.5,-2.5,-3.0,-145.0,125.0,Kansas State,0.0,-3.0,-3.0,-157.333333333333,133.666666666667,Flat,0.0
3,4017568462025-08-26 17:02:20.457391,401756846,2025,1,regular,2025-08-23T16:00:00.000Z,Kansas State,Big 12,,21.0,Iowa State,Big 12,,24.0,"{'provider': 'DraftKings', 'spread': -3.5, 'formattedSpread': 'Kansas State -3.5', 'spreadOpen': -3.5, 'overUnder': 49.5, 'overUnderOpen': 49.5, 'homeMoneyline': -162, 'awayMoneyline': 136}",2025-08-26 17:02:20.457391,0.0,-3.5,-3.5,-162.0,136.0,Kansas State,0.0,-3.0,-3.0,-157.333333333333,133.666666666667,Flat,0.0
4,4017568462025-08-26 17:02:36.197753,401756846,2025,1,regular,2025-08-23T16:00:00.000Z,Kansas State,Big 12,,21.0,Iowa State,Big 12,,24.0,"{'provider': 'ESPN Bet', 'spread': -2.5, 'formattedSpread': 'Kansas State -2.5', 'spreadOpen': -3, 'overUnder': 51.5, 'overUnderOpen': 49.5, 'homeMoneyline': -145, 'awayMoneyline': 125}",2025-08-26 17:02:36.197753,-0.5,-2.5,-3.0,-145.0,125.0,Kansas State,0.0,-3.0,-3.0,-157.333333333333,133.666666666667,Flat,0.0
5,4017568462025-08-26 17:03:37.383713,401756846,2025,1,regular,2025-08-23T16:00:00.000Z,Kansas State,Big 12,,21.0,Iowa State,Big 12,,24.0,"{'provider': 'ESPN Bet', 'spread': -2.5, 'formattedSpread': 'Kansas State -2.5', 'spreadOpen': -3, 'overUnder': 51.5, 'overUnderOpen': 49.5, 'homeMoneyline': -145, 'awayMoneyline': 125}",2025-08-26 17:03:37.383713,-0.5,-2.5,-3.0,-145.0,125.0,Kansas State,0.0,-3.0,-3.0,-157.333333333333,133.666666666667,Flat,0.0
6,4017568462025-08-28 10:22:36.933601,401756846,2025,1,regular,2025-08-23T16:00:00.000Z,Kansas State,Big 12,,21.0,Iowa State,Big 12,,24.0,"{'provider': 'Bovada', 'spread': -3, 'formattedSpread': 'Kansas State -3.0', 'spreadOpen': -2.5, 'overUnder': 51, 'overUnderOpen': 49.5, 'homeMoneyline': -165, 'awayMoneyline': 140}",2025-08-28 10:22:36.933601,0.5,-3.0,-2.5,-165.0,140.0,Kansas State,0.0,-3.0,-3.0,-157.333333333333,133.666666666667,Flat,0.0
7,4017568462025-08-29 11:14:14.606970,401756846,2025,1,regular,2025-08-23T16:00:00.000Z,Kansas State,Big 12,,21.0,Iowa State,Big 12,,24.0,"{'provider': 'ESPN Bet', 'spread': -2.5, 'formattedSpread': 'Kansas State -2.5', 'spreadOpen': -3, 'overUnder': 51.5, 'overUnderOpen': 49.5, 'homeMoneyline': -145, 'awayMoneyline': 125}",2025-08-29 11:14:14.606970,-0.5,-2.5,-3.0,-145.0,125.0,Kansas State,0.0,-3.0,-3.0,-157.333333333333,133.666666666667,Flat,0.0
8,4017568462025-08-29 12:03:08.800413,401756846,2025,1,regular,2025-08-23T16:00:00.000Z,Kansas State,Big 12,,21.0,Iowa State,Big 12,,24.0,"{'provider': 'ESPN Bet', 'spread': -2.5, 'formattedSpread': 'Kansas State -2.5', 'spreadOpen': -3, 'overUnder': 51.5, 'overUnderOpen': 49.5, 'homeMoneyline': -145, 'awayMoneyline': 125}",2025-08-29 12:03:08.800413,-0.5,-2.5,-3.0,-145.0,125.0,Kansas State,0.0,-3.0,-3.0,-157.333333333333,133.666666666667,Flat,0.0
9,4017568462025-08-29 12:19:32.365787,401756846,2025,1,regular,2025-08-23T16:00:00.000Z,Kansas State,Big 12,,21.0,Iowa State,Big 12,,24.0,"{'provider': 'ESPN Bet', 'spread': -2.5, 'formattedSpread': 'Kansas State -2.5', 'spreadOpen': -3, 'overUnder': 51.5, 'overUnderOpen': 49.5, 'homeMoneyline': -145, 'awayMoneyline': 125}",2025-08-29 12:19:32.365787,-0.5,-2.5,-3.0,-145.0,125.0,Kansas State,0.0,-3.0,-3.0,-157.333333333333,133.666666666667,Flat,0.0
